source,url,price_local,currency,price_usd,bedrooms,sqm,price_per_sqm_usd,district,rooms_text_raw,sqm_text_raw,price_text_raw
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2knovobudovapr-vropeyskogo-soyuzu-ID10utZl.html?search_reason=search%7Corganic,18000,UAH,406.62,1,,,Подільський,Оренда 2к(новобудова)пр.Європейського Союзу,,18 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2k-kvartiri-v-tsentr-kiva-ID10yqx5.html?search_reason=search%7Corganic,20000,UAH,451.80,1,,,Печерський,Оренда 2к квартири в центрі Києва,,20 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/3-km-urlvska-36-persha-zdacha-orenda-kvartirr-metro-poznyaki-darnitskiy-rayon-ID10x7sY.html?search_reason=search%7Corganic,30000,UAH,677.70,2,,,Дарницький,3 кім Урлівська 36 перша здача оренда квартирр метро Позняки Дарницький район,,30 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdacha-1-kmnatno-stud-ID10ydxT.html?search_reason=search%7Corganic,14500,UAH,327.55,0,,,Солом'янський,Здача 1 кімнатноі студіі,,14 500 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/vd-vlasnika-orenda-1-kmnatno-kvartiri-10-hv-pshki-do-m-akademmstechko-ID10yGAc.html?search_reason=search%7Corganic,16000,UAH,361.44,0,,,Святошинський,ВІД ВЛАСНИКА оренда 1 кімнатної квартири 10 хв пішки до м. Академмістечко,,16 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdatsya-1-kmnatna-kvartira-varshavskiy-plyus-ukrittya-generator-u-budinku-ID10zutq.html?search_reason=search%7Cpromoted,25000,UAH,564.75,0,,,Подільський,"Здається 1-кімнатна квартира Варшавський Плюс , укриття, генератор у будинку",,25 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-v-orendu-1-kmnatnu-kvartiru-zhk-msto-kvtv-ID10AN1q.html?search_reason=search%7Cpromoted,21000,UAH,474.39,0,,,Подільський,Здам в оренду 1 кімнатну квартиру ЖК «Місто квітів»,,21 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zdatsya-zatishna-1-kmnatna-kvartira-na-obolon-IDZM4FA.html?search_reason=search%7Cpromoted,14500,UAH,327.55,0,,,Оболонський,Здається затишна 1 кімнатна квартира на Оболоні,,14 500 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/akademmstechko-novoblich-orenda-1-kmnatna-vul-olevska-5-ID10vNcp.html?search_reason=search%7Corganic,14500,UAH,327.55,0,,,Святошинський,"Академмістечко Новобіличі Оренда 1-кімнатна вул. Олевська,5",,14 500 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/zhk-52-perlina-pechersk-plaza-vul-m-boychuka-19a-1-k-kv-ID10t1MP.html?search_reason=search%7Corganic,40000,UAH,903.60,0,,,Печерський,"ЖК ""52 Перлина"" Pechersk Plaza  вул. М. Бойчука 19А, 1 к.кв.",,40 000 грн.
olx,https://www.olx.ua/d/uk/obyavlenie/1k-nova-darnitsya-sevastopolska-19-dlya-odn-lyudini-ID10uFw5.html?search_reason=search%7Corganic,8000,UAH,180.72,0,,,Дарницький,1к Нова Дарниця Севастопольська 19 для  однієї людини,,8 000 грн.
