source,url,price_text,rooms_text,sqm_text,district,listed_at_text
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-2km-kvartiri-65m-zhk-park-avenyu-park-avenue-vip-prospekt-golosvskiy-58-ID10ysH0.html?search_reason=search%7Corganic,35 434.46 грн.Договірна,Оренда 2кім. квартири 65м ЖК Парк Авеню | Park Avenue Vip.  проспект Голосіївський 58,,Голосіївський,"Київ, Голосіївський - Сьогодні о 18:47"
olx,https://www.olx.ua/d/uk/obyavlenie/bez-2k-kvartira-65-m2-voskresenska-12b-zhk-parkov-ozera-ID10yu1C.html?search_reason=search%7Corganic,17 000 грн.,"Без %, 2к квартира, 65 м2, Воскресенська, 12Б, ЖК Паркові Озера",65 м2,Дніпровський,"Київ, Дніпровський - 30 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1-km-kv-zhk-britanskiy-kvartal-golosvskiy-ID10wnG5.html?search_reason=search%7Corganic,18 000 грн.,Оренда 1 кім кв ЖК Британський квартал Голосіївський,,Голосіївський,"Київ, Голосіївський - Сьогодні о 03:32"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-3-k-60m2-gerov-polku-azov-b-7-m-obolon-ID10AA51.html?search_reason=search%7Cpromoted,16 000 грн.,"Оренда 3 к. 60м2  Героїв полку Азов  б.7,   м. Оболонь",60м2,Оболонський,"Київ, Оболонський - 30 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/zdam-1-km-kv-vul-revutskogo-harkvskiy-masiv-ID10yWVJ.html?search_reason=search%7Cpromoted,10 000 грн.,"Здам 1-кім.кв. вул.Ревуцького, Харківський масив",,Дарницький,"Київ, Дарницький - 30 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/arenda-2-h-komnatnaya-kvartiry-po-ul-lyuteranskaya-13-tsentr-ID10ge4I.html?search_reason=search%7Cpromoted,44 293.08 грн.Договірна,"Аренда 2-х комнатная квартиры по ул.Лютеранская 13, Центр.",,Печерський,"Київ, Печерський - 29 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-3-k-kv-95-m2-vul-generala-shapovala-2-zhk-smaragdoviy-ID10vdcC.html?search_reason=search%7Corganic,44 500 грн.,"Оренда 3 к кв 95 м2, вул Генерала Шаповала,2. ЖК Смарагдовий",95 м2,Солом'янський,"Київ, Солом'янський - 30 травня 2026 р."
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-stud-1-y-poverh-v-zhk-komfort-taun-prosp-sobornost-17-ID10zoiC.html?search_reason=search%7Corganic,14 000 грн.,"Оренда студії (1-й поверх) в ЖК Комфорт Таун, просп. Соборності, 17",,Дніпровський,"Київ, Дніпровський - Сьогодні о 01:40"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartira-45m2-kmn-zhk-victory-v-metro-ID10wtQP.html?search_reason=search%7Corganic,35 434.46 грн.,Оренда Квартира 45м2 кімн ЖК Victory V Метро,45м2,Солом'янський,"Київ, Солом'янський - Сьогодні о 11:57"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-1-km-kvartiri-stud-v-zhk-komfort-taun-prosp-sobornost-ID10zojH.html?search_reason=search%7Corganic,13 500 грн.,"Оренда 1-кім квартири-студії в ЖК Комфорт Таун, просп. Соборності",,Дніпровський,"Київ, Дніпровський - Сьогодні о 01:51"
olx,https://www.olx.ua/d/uk/obyavlenie/tsentr-pechersk-2k-85m-po-konovaltsa-e-32g-ID10zsv7.html?search_reason=search%7Corganic,35 390.17 грн.,Центр Печерск 2к 85м по Коновальца Е. 32Г,,Печерський,"Київ, Печерський - Сьогодні о 10:14"
olx,https://www.olx.ua/d/uk/obyavlenie/orenda-kvartira-188m2-3kmn-zhk-novopechersk-lipki-generator-ID10wG5d.html?search_reason=search%7Corganic,155 025.77 грн.,Оренда Квартира 188м2 3кімн ЖК Новопечерські Липки Генератор,188м2,Печерський,"Київ, Печерський - Сьогодні о 19:07"
olx,https://www.olx.ua/d/uk/obyavlenie/sdam-1-kom-kv-ul-dovzhenko-16-metro-shulyavka-15-minut-peshkom-ID10yc22.html?search_reason=search%7Corganic,10 000 грн.,"Сдам 1 ком кв ул Довженко 16, метро Шулявка 15 минут пешком",,Шевченківський,"Київ, Шевченківський - 30 травня 2026 р."
