source,url,price_local,currency,price_usd,bedrooms,sqm,price_per_sqm_usd,district,rooms_text_raw,sqm_text_raw,price_text_raw
flatfy,https://flatfy.ua/redirect/4688089475,496,USD,496.00,0,50,9.92,Лівобережний масив,"1 кімната, 50 / 17 / 20 м², поверх 2 з 25, з ремонтом, цегляний будинок, 2020, сьогодні о 11:25, Створено сьогодні о 11:25",50 м²,$ 496
flatfy,https://flatfy.ua/redirect/4689718252,800,USD,800.00,1,47,17.02,Дарницький,"2 кімнати, 47 / 22 / 20 м², поверх 5 з 25, з ремонтом, монолітно-каркасний, 2023, сьогодні о 20:20, Створено сьогодні о 20:20",47 м²,$ 800
flatfy,https://flatfy.ua/redirect/4687901794,338,USD,338.00,0,45,7.51,Стара Дарниця,"1 кімната, 45 / 33 / 12 м², поверх 3 з 28, з ремонтом, монолітно-каркасний, 2012, сьогодні о 13:01, Створено сьогодні о 13:01",45 м²,$ 338
flatfy,https://flatfy.ua/redirect/4687927123,226,USD,226.00,0,20,11.30,Північно-Броварський,"1 кімната, 20 / 12 / 4 м², поверх 8 з 9, з ремонтом, панельні, 1972, сьогодні о 10:41, Створено сьогодні о 10:35",20 м²,$ 226
flatfy,https://flatfy.ua/redirect/4655099130,451,USD,451.00,0,36,12.53,Солом’янський,"1 кімната, 36 / 20 / 7 м², поверх 13 з 22, з ремонтом, цегляний будинок, 2021, сьогодні о 21:18, Створено сьогодні о 21:18",36 м²,$ 451
flatfy,https://flatfy.ua/redirect/4689622754,450,USD,450.00,0,45,10.00,Харківський,"1 кімната, 45 / 15 / 18 м², поверх 3 з 21, з ремонтом, блочні, 2023, сьогодні о 19:47, Створено сьогодні о 19:47",45 м²,$ 450
flatfy,https://flatfy.ua/redirect/4688935238,788,USD,788.00,1,60,13.13,Лівобережний масив,"2 кімнати, 60 / 30 / 15 м², поверх 15 з 30, з ремонтом, монолітно-каркасний, 2020, сьогодні о 16:15, Створено сьогодні о 16:15",60 м²,$ 788
flatfy,https://flatfy.ua/redirect/4688075293,473,USD,473.00,0,38,12.45,Голосіїв,"1 кімната, 38 / 20 / 12 м², поверх 10 з 14, з ремонтом, панельні, 2018, сьогодні о 11:16, Створено сьогодні о 11:16",38 м²,$ 473
flatfy,https://flatfy.ua/redirect/4689118520,226,USD,226.00,1,45,5.02,Соцмісто,"2 кімнати, 45 / 27 / 7 м², поверх 3 з 5, з ремонтом, панельні, 1963, сьогодні о 17:05, Створено сьогодні о 17:05",45 м²,$ 226
flatfy,https://flatfy.ua/redirect/4688998006,383,USD,383.00,0,30,12.77,Дніпровський,"1 кімната, 30 / 16.6 / 4 м², поверх 5 з 16, з ремонтом, монолітно-каркасний, 2018, сьогодні о 16:37, Створено сьогодні о 16:37",30 м²,$ 383
flatfy,https://flatfy.ua/redirect/4688561964,518,USD,518.00,1,51,10.16,Печерськ,"2 кімнати, 51 / 40 / 8 м², поверх 4 з 5, з ремонтом, цегляний будинок, 1957, сьогодні о 15:45, Створено сьогодні о 14:09",51 м²,$ 518
flatfy,https://flatfy.ua/redirect/4687677524,900,USD,900.00,0,55,16.36,Нова забудова,"1 кімната, 55 / 20 / 25 м², поверх 6 з 25, з ремонтом, монолітно-каркасний, 2019, сьогодні о 09:16, Створено сьогодні о 09:14",55 м²,$ 900
flatfy,https://flatfy.ua/redirect/4688992529,347,USD,347.00,0,40,8.68,Лівобережний масив,"1 кімната, 40 / 20 / 16 м², поверх 9 з 26, з ремонтом, монолітно-каркасний, 2019, сьогодні о 16:36, Створено сьогодні о 16:34",40 м²,$ 347
flatfy,https://flatfy.ua/redirect/4688945653,597,USD,597.00,0,45,13.27,Подільський,"1 кімната, 45 / 17 / 16 м², поверх 9 з 26, з ремонтом, блочні, 2022, сьогодні о 16:25, Створено сьогодні о 16:18",45 м²,$ 597
